Company ID,Seed Date,Seed Investor IDs,Seed Investors
110498-23,03/27/2015,105907-15,Investor 553
110585-44,03/03/2016,10278-19;106099-03,Investor 266;Investor 842
110585-80,04/08/2015,10139-41,Investor 161
110586-34,04/05/2016,105885-46;105908-59,Investor 521;Investor 554
110671-84,04/07/2014,103211-47,Investor 282
110757-70,03/27/2015,106022-53,Investor 726
11085-13,02/11/2013,10139-41;105863-23;106113-43,Investor 161;Investor 493;Investor 865
110874-61,09/01/2007,10134-73,Investor 156
110949-13,07/30/2015,100624-51;10123-03;105907-15,Investor 90;Investor 151;Investor 553
111000-61,03/16/2015,106070-32,Investor 799
111020-59,04/02/2015,105907-15;105927-94;105983-38;106019-47;106020-28,Investor 553;Investor 575;Investor 666;Investor 718;Investor 721
111030-04,07/23/2015,105945-22,Investor 604
111250-54,03/11/2015,106039-45,Investor 750
111253-42,06/18/2007,10134-73,Investor 156
111253-60,01/04/2016,106040-17,Investor 752
111294-19,05/11/2015,105848-38;106107-22,Investor 471;Investor 858
111319-75,02/09/2015,10139-41,Investor 161
111323-89,03/02/2016,105863-23,Investor 493
111324-43,02/09/2015,10134-73,Investor 156
111383-47,03/31/2015,10052-20,Investor 69
111385-27,09/14/2015,105921-46,Investor 569
111429-91,04/17/2014,10134-73;105883-57,Investor 156;Investor 516
111470-95,12/23/2014,10322-83,Investor 283
111567-52,08/17/2015,10052-20;10139-41;105863-23;106011-46;106020-28,Investor 69;Investor 161;Investor 493;Investor 705;Investor 721
111612-70,11/20/2014,105957-10,Investor 625
111633-22,04/14/2015,105501-25,Investor 433
111652-21,05/04/2016,106067-89,Investor 795
111728-53,10/21/2016,100881-19;101830-69;10555-48,Investor 121;Investor 198;Investor 437
111812-23,05/08/2014,10382-32;105943-87,Investor 322;Investor 602
111926-89,10/26/2016,105907-15,Investor 553
111934-36,03/26/2015,105849-28;105885-46;105980-23;106009-93;106029-64,Investor 474;Investor 521;Investor 664;Investor 703;Investor 736
111950-11,03/26/2015,10139-41;106081-66,Investor 161;Investor 813
112011-58,04/21/2015,10388-62,Investor 330
112022-47,11/01/2015,105884-29;106008-13;106022-53,Investor 518;Investor 700;Investor 726
112027-33,05/07/2015,105952-33;105968-71,Investor 615;Investor 642
112117-33,07/08/2015,103536-01,Investor 304
112219-84,10/27/2016,100731-07,Investor 107
112496-32,09/29/2016,105847-84,Investor 470
112498-12,04/30/2015,105876-64;105883-57;105958-99;105967-00;106022-53;106081-12,Investor 508;Investor 516;Investor 629;Investor 639;Investor 726;Investor 812
112512-43,09/22/2015,10042-21,Investor 54
112545-91,05/01/2015,105977-98,Investor 661
112548-52,05/03/2015,101872-45;105962-41;106046-20,Investor 201;Investor 632;Investor 762
112575-25,12/01/2014,10066-15,Investor 96
112575-79,01/15/2013,105876-64;105974-56;105977-62;105980-23;105983-38;106021-09;106035-13;106070-77,Investor 508;Investor 652;Investor 659;Investor 664;Investor 666;Investor 724;Investor 742;Investor 801
112585-15,02/01/2014,10281-70,Investor 267
112906-63,09/21/2007,106046-65,Investor 763
112941-64,03/02/2016,10560-70,Investor 438
112950-64,05/07/2015,105915-97,Investor 561
112959-28,08/30/2016,105967-00,Investor 639
113007-43,09/13/2015,106049-71,Investor 769
113039-92,03/08/2016,10499-95,Investor 414
113046-94,04/12/2016,103272-40,Investor 289
113109-94,07/30/2015,103048-39,Investor 276
113116-96,08/17/2015,10134-73,Investor 156
113119-75,05/01/2016,104730-94,Investor 397
113121-46,05/17/2016,10463-23,Investor 389
113130-28,11/10/2010,102473-47,Investor 249
113144-59,07/09/2015,105884-65;105894-55;106116-76,Investor 520;Investor 539;Investor 871
113159-26,01/06/2016,10187-83,Investor 202
113232-16,10/18/2016,100153-81;100370-71;10525-24,Investor 12;Investor 46;Investor 426
113238-01,05/01/2015,105938-65;106022-62,Investor 592;Investor 727
113267-17,07/01/2012,106009-48;106063-21,Investor 702;Investor 789
113335-30,07/21/2015,105858-55,Investor 486
113352-13,05/18/2015,105907-15,Investor 553
113370-76,06/30/2016,10178-65,Investor 194
113439-79,04/25/2015,105884-29;106009-48;106067-17,Investor 518;Investor 702;Investor 793
113455-72,02/17/2015,105928-03,Investor 576
11357-38,01/22/2007,10077-85;10156-69,Investor 115;Investor 174
113573-89,10/05/2015,10458-73,Investor 384
113650-93,05/10/2015,101598-94,Investor 176
113681-08,12/03/2015,10146-16,Investor 167
113724-55,01/28/2016,10331-11,Investor 291
113728-15,06/26/2015,106039-45,Investor 750
113736-97,05/25/2015,106022-53;106081-66,Investor 726;Investor 813
113770-36,03/03/2016,104622-22,Investor 388
113773-15,05/10/2012,106009-48,Investor 702
113834-26,11/11/2015,104852-08,Investor 411
113868-28,01/05/2015,10364-23,Investor 310
113914-63,05/19/2015,105938-65,Investor 592
113933-89,06/21/2016,10560-70;105863-95,Investor 438;Investor 494
113978-98,11/10/2015,104134-87,Investor 357
113988-07,08/14/2014,105953-14;106009-93,Investor 617;Investor 703
114077-44,06/22/2016,105883-57,Investor 516
114080-41,01/23/2015,10052-20,Investor 69
114101-56,05/01/2015,106115-59,Investor 868
114101-83,06/30/2015,10123-03;10139-41,Investor 151;Investor 161
114243-76,05/21/2015,103785-49,Investor 320
114363-46,05/21/2015,105953-14;106064-47,Investor 617;Investor 792
11456-11,09/10/2007,104820-76,Investor 408
114624-55,05/28/2015,105968-71,Investor 642
114628-06,05/01/2015,102495-16;106015-42;106035-13,Investor 254;Investor 712;Investor 742
114693-04,09/01/2010,10532-80,Investor 429
114789-25,02/03/2016,105884-65,Investor 520
114826-06,05/04/2015,106076-35,Investor 809
114843-52,01/27/2016,10382-32;10612-18,Investor 322;Investor 882
114852-25,10/13/2016,106097-05,Investor 838
114888-07,01/01/2015,105976-18,Investor 656
114976-81,06/03/2015,105852-43,Investor 479
115028-74,09/30/2014,101626-39,Investor 179
115199-20,05/19/2016,10067-86,Investor 97
115350-67,01/01/2015,105976-18,Investor 656
115350-85,11/12/2015,105995-17;106091-65,Investor 682;Investor 828
115374-16,06/08/2015,100881-19;105953-14,Investor 121;Investor 617
115375-96,10/29/2015,10042-21,Investor 54
115403-68,01/18/2016,105847-84,Investor 470
115406-20,03/31/2016,10322-83,Investor 283
115472-89,01/31/2015,10357-03,Investor 307
115478-74,03/22/2014,105884-29;105899-14;105976-18,Investor 518;Investor 544;Investor 656
115485-49,09/24/2014,105501-25,Investor 433
115513-57,02/24/2016,105861-43;105883-57,Investor 490;Investor 516
115521-85,06/17/2015,10123-03;105934-24,Investor 151;Investor 587
115603-66,01/25/2015,104141-26;105899-14;105980-23,Investor 359;Investor 544;Investor 664
115610-14,08/10/2016,105968-71;106009-93,Investor 642;Investor 703
115622-83,02/01/2016,10042-21,Investor 54
117068-59,04/01/2015,105501-25;105931-09,Investor 433;Investor 584
117086-77,06/01/2015,104124-16,Investor 356
117120-52,06/16/2015,10123-03,Investor 151
117141-04,11/29/2016,106025-23,Investor 731
117150-67,11/11/2015,105967-72,Investor 641
117159-13,04/20/2016,106116-94,Investor 872
117177-85,04/27/2015,105999-22;106056-73;106123-24,Investor 686;Investor 780;Investor 884
117212-41,12/20/2013,105967-00,Investor 639
117236-53,01/29/2015,106015-96,Investor 713
11734-30,10/15/2007,10352-89,Investor 302
117396-10,08/24/2015,105976-18,Investor 656
117434-26,07/01/2014,10020-07,Investor 19
117444-79,05/31/2016,10139-41,Investor 161
117491-32,11/16/2016,106019-47,Investor 718
117505-81,10/20/2016,105967-00;106022-62;106041-70,Investor 639;Investor 727;Investor 755
117509-23,02/03/2016,10134-73,Investor 156
117584-20,11/17/2015,106012-27,Investor 706
117597-70,10/06/2015,105858-82,Investor 487
117772-93,04/22/2015,105909-76;105918-94,Investor 555;Investor 566
117900-73,01/25/2016,105968-71,Investor 642
117903-88,05/01/2015,105907-15;105927-94,Investor 553;Investor 575
117920-17,01/08/2015,10139-41,Investor 161
117984-07,04/29/2016,106062-40,Investor 788
118001-71,11/15/2012,10560-70,Investor 438
118002-79,12/16/2015,106070-77,Investor 801
118012-06,10/07/2015,10123-03;105907-15,Investor 151;Investor 553
118024-75,07/31/2015,106054-30,Investor 775
118037-26,06/23/2015,105986-62,Investor 672
118067-41,10/27/2016,103882-06,Investor 328
118129-60,09/15/2014,10268-65,Investor 262
118144-90,06/24/2016,10357-03;105924-61;105980-23,Investor 307;Investor 572;Investor 664
118261-18,08/01/2016,103211-47,Investor 282
11828-80,02/06/2008,10015-39,Investor 13
118286-02,08/31/2016,102425-68,Investor 244
118335-52,01/01/2016,104134-87,Investor 357
118358-47,07/26/2016,105501-25,Investor 433
118405-99,12/03/2015,105849-91,Investor 475
118527-13,03/27/2015,10521-55,Investor 424
118541-80,11/10/2014,10123-03;105885-46,Investor 151;Investor 521
118541-89,01/13/2017,105874-30,Investor 505
118586-62,05/03/2012,105873-76,Investor 504
118788-76,06/25/2015,10123-03,Investor 151
118818-37,02/03/2016,10018-18;10024-75;10028-71;10042-84;10043-83;10355-14;10568-26,Investor 15;Investor 28;Investor 35;Investor 55;Investor 56;Investor 305;Investor 445
118850-59,04/21/2014,10322-83,Investor 283
118886-95,05/08/2014,105907-15,Investor 553
118908-73,06/28/2016,10014-49,Investor 10
118955-53,09/19/2011,105976-18,Investor 656
118991-98,08/15/2016,10144-09,Investor 166
119066-14,10/13/2015,106031-62,Investor 738
119184-85,06/25/2015,105847-84;105907-15;105964-84,Investor 470;Investor 553;Investor 636
119236-60,07/01/2015,10612-54,Investor 889
119276-02,11/01/2013,105953-14,Investor 617
119333-35,09/01/2014,105914-62;106008-13,Investor 560;Investor 700
119376-64,07/07/2015,105986-71,Investor 673
119389-87,07/08/2015,106049-71,Investor 769
119536-84,05/06/2015,106063-66,Investor 791
119538-28,06/16/2015,101049-49,Investor 135
119615-50,02/03/2016,105899-14,Investor 544
119682-91,07/13/2015,10322-83,Investor 283
119746-09,09/04/2015,105856-66,Investor 482
119747-89,07/16/2015,102495-16;105976-18,Investor 254;Investor 656
11975-14,03/08/2007,10215-73,Investor 216
119756-53,06/30/2016,10123-03;105968-71,Investor 151;Investor 642
11976-22,02/14/2007,10215-73,Investor 216
119766-97,10/02/2013,106039-72,Investor 751
119886-49,07/16/2015,10357-03,Investor 307
119931-58,11/01/2015,10538-74,Investor 431
119977-30,02/15/2016,102197-62,Investor 221
120027-61,06/20/2016,100202-14,Investor 20
120115-18,08/30/2016,10312-30,Investor 279
120148-12,01/01/2014,105953-14,Investor 617
120162-88,05/25/2016,10139-41,Investor 161
12025-63,09/09/2009,10088-92,Investor 122
120275-56,10/13/2016,101311-75,Investor 153
120307-51,07/20/2016,106116-94,Investor 872
120307-96,11/11/2015,10463-23;10530-10;10566-01,Investor 389;Investor 428;Investor 443
12032-74,09/03/2007,10022-14,Investor 23
120358-45,01/25/2017,10474-48,Investor 399
120374-29,12/15/2016,104840-56,Investor 410
120493-90,07/15/2015,105945-22,Investor 604
120511-09,07/21/2015,105968-71;106009-48;106013-53;106088-23,Investor 642;Investor 702;Investor 707;Investor 822
120521-26,05/14/2015,10024-93;10037-35;10038-79;10045-81,Investor 29;Investor 48;Investor 51;Investor 58
120587-95,01/14/2016,105885-46;106012-27;106033-87;106041-70;106054-30,Investor 521;Investor 706;Investor 740;Investor 755;Investor 775
120729-70,07/27/2015,10139-41,Investor 161
120755-89,07/27/2015,106100-38,Investor 843
