deal_id|company_id|deal_number|deal_date|deal_status|deal_size|last_updated
74404-18T|100360-63|2|01/07/2016|11|2.0|02/15/2017
64929-43T|100360-63|3|07/14/2016|11|9.0|02/15/2017
40340-26T|100367-20|1|12/11/2014|11|10.5|02/15/2017
47671-12T|100367-74|2|03/01/2015|11||02/15/2017
53301-97T|100368-01|2|07/10/2015|11|0.45|02/15/2017
40368-43T|100372-78|1|06/25/2014|11|2.02|02/15/2017
69047-65T|100372-78|2|04/13/2016|11|0.9|02/15/2017
40346-29T|100373-05|1|01/01/2014|11|2.0|02/15/2017
57286-72T|100373-05|2|10/06/2015|11|15.0|02/15/2017
40348-54T|100373-50|1|12/11/2014|11|2.2|02/15/2017
60912-37T|100373-50|2|12/15/2015|11|15.0|02/15/2017
48745-18T|100386-01|2|04/21/2015|11|15.0|02/15/2017
45760-24T|100398-79|2|02/09/2015|11|3.0|02/15/2017
64871-65T|100398-79|3|01/19/2016|11|9.5|02/15/2017
40398-22T|100422-64|1|08/15/2014|11|0.15|02/15/2017
68300-11T|100422-64|2|08/07/2015|11||02/15/2017
40398-76T|100423-00|1|09/23/2014|11||02/15/2017
46202-32T|100423-00|2|02/24/2015|11|1.75|02/15/2017
40399-03T|100423-09|1|08/29/2014|11|0.15|02/15/2017
55570-33T|100438-84|1|10/16/2008|11|0.8|02/15/2017
40429-90T|100447-12|2|01/30/2014|11|0.1|02/15/2017
60337-54T|100447-12|4|08/01/2015|11|1.0|02/15/2017
60338-17T|100447-12|5|10/31/2015|11||02/15/2017
47021-41T|100462-33|1|12/12/2014|11|1.13|02/15/2017
40439-98T|100468-45|2|12/15/2014|11|34.0|02/15/2017
40446-10T|100475-74|1|09/01/2014|11|10.0|02/15/2017
69623-65T|100494-46|1|06/01/2012|11|0.03|02/15/2017
69623-74T|100494-46|2|07/01/2013|11|0.03|02/15/2017
72339-67T|100508-23|4|06/29/2016|11|1.0|02/15/2017
40485-25T|100511-02|2|12/16/2014|11|2.5|02/15/2017
49601-35T|100511-02|3|05/05/2015|11|11.37|02/15/2017
55732-42T|100513-27|1|11/19/2013|11|4.0|02/15/2017
45118-45T|100513-27|2|12/11/2014|11|2.5|02/15/2017
55733-32T|100513-27|3|08/18/2015|11|6.11|02/15/2017
62580-16T|100513-27|4|10/30/2015|11||02/15/2017
73062-01T|100517-23|1|04/12/2012|11|3.4699999999999998|02/15/2017
46134-01T|100529-11|1|05/28/2015|11|2.2|02/15/2017
50957-74T|100529-11|3|06/13/2016|11||02/15/2017
40517-38T|100537-75|1|11/03/2013|11||02/15/2017
62921-26T|100537-75|3|06/19/2015|11|0.1|02/15/2017
40517-56T|100537-75|4|08/02/2016|11|2.3|02/15/2017
52969-24T|100539-37|1|12/16/2014|11|0.63|02/15/2017
40526-02T|100546-21|1|07/14/2015|11|9.05|02/15/2017
53317-36T|100546-48|3|07/08/2015|11|1.0|02/15/2017
69837-85T|100546-48|5|05/02/2016|11|1.0|02/15/2017
65227-06T|100549-72|3|10/01/2015|11|1.0|02/15/2017
52972-93T|100550-17|2|12/08/2014|11|2.14|02/15/2017
52944-04T|100552-06|1|12/04/2014|11|0.69|02/15/2017
55675-45T|100559-89|3|08/17/2015|11|0.5|02/15/2017
40555-54T|100564-84|3|12/11/2014|11|1.8|02/15/2017
44030-71T|100571-86|1|01/01/2014|11|0.1|02/15/2017
44023-33T|100573-84|2|09/09/2014|11|0.42|02/15/2017
44049-34T|100574-47|2|02/26/2014|11|0.11|02/15/2017
44024-77T|100575-28|2|02/26/2014|11|0.15|02/15/2017
52965-46T|100578-61|1|04/01/2014|11|1.04|02/15/2017
52963-30T|100584-55|1|12/31/2014|11|2.75|02/15/2017
44001-10T|100591-30|1|02/20/2013|11|0.16|02/15/2017
66674-26T|100591-39|5|12/08/2016|9|0.5|02/15/2017
43924-60T|100591-48|2|02/10/2013|11|0.14|02/15/2017
43911-91T|100595-53|2|02/08/2012|11|0.13|02/15/2017
43972-12T|100596-61|5|02/08/2012|11|0.14|02/15/2017
51123-34T|100597-69|1|05/14/2014|11|0.37|02/15/2017
51122-80T|100597-69|2|09/18/2015|11|4.99|02/15/2017
79885-54T|100597-69|3|03/08/2016|11|1.5|02/15/2017
78699-88T|100597-69|4|11/18/2016|11|20.0|02/15/2017
40604-77T|100612-63|1|07/30/2015|11|9.52|02/15/2017
40607-02T|100615-69|1|12/17/2014|11||02/15/2017
57219-67T|100616-77|2|10/01/2012|11|0.23|02/15/2017
57219-94T|100616-77|3|12/31/2013|11|0.57|02/15/2017
52957-45T|100618-93|1|12/10/2014|11|2.0|02/15/2017
40610-53T|100619-38|1|12/18/2014|11|15.0|02/15/2017
43983-73T|100621-18|2|02/21/2008|11|0.2|02/15/2017
46080-46T|100640-53|1|12/19/2014|11||02/15/2017
77737-69T|100640-53|2|10/26/2016|11|1.0|02/15/2017
44508-43T|100643-32|1|01/15/2015|11|12.4|02/15/2017
40702-15T|100652-95|2|06/01/2007|11|0.05|02/15/2017
69452-65T|100657-09|5|04/26/2016|11|1.8|02/15/2017
59635-72T|100678-24|1|11/24/2014|11|2.05|02/15/2017
52950-16T|100679-23|1|03/11/2014|11|0.57|02/15/2017
52950-61T|100679-23|2|07/27/2015|11|6.5|02/15/2017
46114-93T|100689-76|1|12/23/2014|11|2.0|02/15/2017
44916-22T|100693-90|1|12/08/2014|11|0.77|02/15/2017
49386-97T|100693-90|2|04/30/2015|11|1.2|02/15/2017
52966-81T|100694-35|1|12/08/2014|11|12.59|02/15/2017
47754-55T|100695-16|1|08/12/2014|11|0.5|02/15/2017
47754-64T|100695-16|2|02/23/2015|11|2.5|02/15/2017
50116-06T|100696-51|1|12/05/2014|11|33.5|02/15/2017
54546-31T|100716-85|1|05/01/2014|11|0.4|02/15/2017
67194-64T|100731-34|4|03/11/2016|11|0.71|02/15/2017
78264-91T|100731-34|5|10/30/2016|9|0.59|02/15/2017
54020-35T|100744-66|3|12/01/2014|11|0.85|02/15/2017
52596-64T|100744-84|2|06/29/2015|11|7.6|02/15/2017
69241-15T|100769-68|5|04/21/2016|11||02/15/2017
55709-20T|100772-56|1|09/09/2014|11|0.4|02/15/2017
61865-56T|100773-10|1|05/01/2013|11|0.12|02/15/2017
44738-47T|100779-40|2|04/29/2015|11|1.5|02/15/2017
61247-08T|100779-40|3|11/17/2015|11|12.5|02/15/2017
52607-26T|100782-28|1|02/01/2014|11||02/15/2017
71679-34T|100784-35|2|06/13/2016|11|1.7|02/15/2017
55788-04T|100794-61|1|05/26/2013|11|0.45|02/15/2017
55711-99T|100798-84|1|06/19/2014|11|0.5|02/15/2017
56323-63T|100800-10|1|04/06/2014|11|0.03|02/15/2017
55720-36T|100810-72|1|09/09/2009|11|0.03|02/15/2017
55724-14T|100810-72|5|03/24/2014|11|0.27|02/15/2017
57653-74T|100813-60|1|01/01/2014|11|0.05|02/15/2017
46013-05T|100818-46|1|04/06/2015|11|0.75|02/15/2017
44392-42T|100818-91|5|01/13/2015|11|0.47|02/15/2017
